prob_false,prob_true
0.244,0.756
0.265,0.735
0.248,0.752
0.248,0.752
0.237,0.763
0.257,0.743
0.256,0.744
0.263,0.737
0.233,0.767
0.247,0.753
0.266,0.734
0.27,0.73
0.254,0.746
0.249,0.751
0.255,0.745
0.242,0.758
0.247,0.753
0.225,0.775
0.259,0.741
0.275,0.725
0.247,0.753
0.252,0.748
0.239,0.761
0.248,0.752
0.266,0.734
0.236,0.764
0.246,0.754
0.269,0.731
0.245,0.755
0.25,0.75
0.265,0.735
0.277,0.723
0.253,0.747
0.249,0.751
0.283,0.717
0.264,0.736
0.233,0.767
0.25,0.75
0.261,0.739
0.257,0.743
0.267,0.733
0.236,0.764
0.253,0.747
0.271,0.729
0.286,0.714
0.258,0.742
0.277,0.723
0.231,0.769
0.25,0.75
0.234,0.766
0.257,0.743
0.292,0.708
0.286,0.714
0.259,0.741
0.269,0.731
0.271,0.729
0.277,0.723
0.255,0.745
0.26,0.74
0.275,0.725
0.274,0.726
0.25,0.75
0.245,0.755
0.239,0.761
0.23,0.77
0.257,0.743
0.245,0.755
0.236,0.764
0.227,0.773
0.259,0.741
0.266,0.734
0.27,0.73
0.254,0.746
0.294,0.706
0.253,0.747
0.242,0.758
0.251,0.749
0.27,0.73
0.27,0.73
0.259,0.741
0.26,0.74
0.258,0.742
0.286,0.714
0.268,0.732
0.249,0.751
0.258,0.742
0.281,0.719
0.25,0.75
0.276,0.724
0.296,0.704
0.267,0.733
0.258,0.742
0.269,0.731
0.264,0.736
0.271,0.729
0.25,0.75
0.226,0.774
0.234,0.766
0.267,0.733
0.255,0.745
0.262,0.738
0.256,0.744
0.242,0.758
0.243,0.757
0.282,0.718
0.249,0.751
0.253,0.747
0.25,0.75
0.259,0.741
0.254,0.746
0.271,0.729
0.26,0.74
0.262,0.738
0.238,0.762
0.243,0.757
0.264,0.736
0.277,0.723
0.266,0.734
0.254,0.746
0.246,0.754
0.289,0.711
0.252,0.748
0.265,0.735
0.256,0.744
0.254,0.746
0.26,0.74
0.272,0.728
0.25,0.75
0.252,0.748
0.244,0.756
0.263,0.737
0.268,0.732
0.25,0.75
0.263,0.737
0.256,0.744
0.265,0.735
0.259,0.741
0.272,0.728
0.258,0.742
0.267,0.733
0.243,0.757
0.255,0.745
0.241,0.759
0.255,0.745
0.263,0.737
0.228,0.772
0.262,0.738
0.239,0.761
0.297,0.703
0.251,0.749
0.239,0.761
0.262,0.738
0.249,0.751
0.273,0.727
0.257,0.743
0.254,0.746
0.259,0.741
0.262,0.738
0.255,0.745
0.226,0.774
0.24,0.76
0.264,0.736
0.244,0.756
0.265,0.735
0.251,0.749
0.256,0.744
0.259,0.741
0.246,0.754
0.26,0.74
0.263,0.737
0.265,0.735
0.241,0.759
0.231,0.769
0.238,0.762
0.242,0.758
0.247,0.753
0.254,0.746
0.259,0.741
0.249,0.751
0.239,0.761
0.247,0.753
0.256,0.744
0.247,0.753
0.244,0.756
0.254,0.746
0.281,0.719
0.229,0.771
0.273,0.727
0.271,0.729
0.265,0.735
0.245,0.755
0.23,0.77
0.255,0.745
0.251,0.749
0.241,0.759
0.251,0.749
0.259,0.741
0.254,0.746
0.272,0.728
0.263,0.737
0.241,0.759
0.274,0.726
0.249,0.751
0.255,0.745
0.278,0.722
0.249,0.751
0.256,0.744
0.278,0.722
0.256,0.744
0.233,0.767
0.277,0.723
