prob_false,prob_true
0.976,0.024
0.971,0.029
0.97,0.03
0.973,0.027
0.975,0.025
0.975,0.025
0.969,0.031
0.974,0.026
0.971,0.029
0.972,0.028
0.968,0.032
0.969,0.031
0.972,0.028
0.972,0.028
0.971,0.029
0.972,0.028
0.977,0.023
0.968,0.032
0.966,0.034
0.973,0.027
0.975,0.025
0.971,0.029
0.968,0.032
0.966,0.034
0.975,0.025
0.974,0.026
0.981,0.019
0.974,0.026
0.978,0.022
0.97,0.03
0.977,0.023
0.967,0.033
0.973,0.027
0.975,0.025
0.982,0.018
0.978,0.022
0.981,0.019
0.976,0.024
0.969,0.031
0.972,0.028
0.964,0.036
0.972,0.028
0.965,0.035
0.969,0.031
0.968,0.032
0.98,0.02
0.969,0.031
0.974,0.026
0.964,0.036
0.974,0.026
0.972,0.028
0.973,0.027
0.97,0.03
0.978,0.022
0.972,0.028
0.974,0.026
0.968,0.032
0.962,0.038
0.977,0.023
0.972,0.028
0.972,0.028
0.976,0.024
0.968,0.032
0.976,0.024
0.979,0.021
0.968,0.032
0.973,0.027
0.968,0.032
0.963,0.037
0.977,0.023
0.974,0.026
0.967,0.033
0.967,0.033
0.976,0.024
0.983,0.017
0.97,0.03
0.972,0.028
0.974,0.026
0.978,0.022
0.973,0.027
0.973,0.027
0.976,0.024
0.972,0.028
0.97,0.03
0.96,0.04
0.976,0.024
0.969,0.031
0.976,0.024
0.959,0.041
0.973,0.027
0.975,0.025
0.971,0.029
0.97,0.03
0.964,0.036
0.977,0.023
0.978,0.022
0.973,0.027
0.976,0.024
0.974,0.026
0.978,0.022
0.975,0.025
0.972,0.028
0.985,0.015
0.966,0.034
0.967,0.033
0.97,0.03
0.973,0.027
0.974,0.026
0.976,0.024
0.982,0.018
0.976,0.024
0.971,0.029
0.977,0.023
0.968,0.032
0.966,0.034
0.979,0.021
0.972,0.028
0.965,0.035
0.974,0.026
0.966,0.034
0.975,0.025
0.977,0.023
0.976,0.024
0.974,0.026
0.975,0.025
0.977,0.023
0.959,0.041
0.978,0.022
0.965,0.035
0.969,0.031
0.965,0.035
0.974,0.026
0.97,0.03
0.971,0.029
0.973,0.027
0.972,0.028
0.97,0.03
0.97,0.03
0.966,0.034
0.979,0.021
0.981,0.019
0.978,0.022
0.976,0.024
0.966,0.034
0.976,0.024
0.97,0.03
0.964,0.036
0.966,0.034
0.971,0.029
0.972,0.028
0.969,0.031
0.982,0.018
0.976,0.024
0.966,0.034
0.974,0.026
0.975,0.025
0.967,0.033
0.975,0.025
0.97,0.03
0.963,0.037
0.971,0.029
0.968,0.032
0.98,0.02
0.972,0.028
